source	time	person	location	organization	miscellaneous
	2020-02-02 00:00:00	lubrio carrero|			miedo
	2020-02-02 00:00:00	lubrio carrero|			miedo 
	2020-02-02 00:00:00	elcomercio peru|	en estados unidos|		tristeza 
	2020-02-02 00:00:00	lubrio carrero|	com pnedfeh3io|		miedo  
	2020-02-02 00:00:00	called off|			miedo   
	2020-02-02 00:00:00		china|		miedo
	2020-02-02 00:00:00		china|		ira   
	2020-02-02 00:00:00	elcomercio peru|			miedo 
	2020-02-02 00:00:00	fallecio|minsa peru|	eeuu|		ira
	2020-02-02 00:00:00	peru|			tristeza  
	2020-02-02 00:00:00	minsa peru|			ira 
	2020-02-02 00:00:00		shougang|	onu|	miedo  
	2020-02-02 00:00:00		china|eeuu|		tristeza   
	2020-02-02 00:00:00	fallecio|			miedo   
	2020-02-02 00:00:00	turista|	mexico|		miedo
	2020-02-02 00:00:00	autoridades|		noticiasaldesp1|	ira  
	2020-02-02 00:00:00	hi i|			ira   
	2020-02-02 00:00:00	segun|	china|		ira
	2020-02-02 00:00:00		china|		ira 
	2020-02-02 00:00:00		chile|	minsaludbolivia|	miedo 
	2020-02-02 00:00:00	coronavirus|	china|		tristeza
	2020-02-02 00:00:00		ee uu|		ira  
	2020-02-02 00:00:00	coronavirus|	china|		tristeza 
	2020-02-02 00:00:00		china|		miedo  
	2020-02-02 00:00:00		china|		ira   
	2020-02-02 00:00:00		de colombia|paseo dizque|	aqui uds andan|reine|	tristeza  
	2020-02-02 00:00:00	peru pic twitter com|	doctores|		miedo   
	2020-02-02 00:00:00		china|		tristeza   
	2020-02-02 00:00:00	coronavirus|	china|		tristeza
	2020-02-02 00:00:00	peru|	colombia|ecuador|ecuador|		miedo
	2020-02-02 00:00:00		china|		tristeza 
	2020-02-02 00:00:00	minsa|			ira
	2020-02-02 00:00:00	minsa peru|mef peru|martinvizcarrac|			alegria 
	2020-02-02 00:00:00	essaludperu pandemia|			alegria  
	2020-02-02 00:00:00		china|		miedo 
	2020-02-02 00:00:00	minsa|			ira 
	2020-02-02 00:00:00		xenofobia|		miedo  
	2020-02-02 00:00:00		en estados unidos|usa|china|filipinas|		tristeza  
	2020-02-02 00:00:00		china|		miedo   
	2020-02-02 00:00:00			oms|	ira  
	2020-02-02 00:00:00		venezuela|paraguay|colombia bolivia|honduras|guatemala|		alegria   
	2020-02-02 00:00:00		wuhan|		tristeza   
	2020-02-02 00:00:00		en estados unidos|		tristeza
	2020-02-02 00:00:00		peru|china|		tristeza 
	2020-02-02 00:00:00		atlanta|	cdc|	miedo
	2020-02-02 00:00:00		china|wuhan|		miedo 
	2020-02-02 00:00:00		usa|		tristeza  
	2020-02-02 00:00:00		california|		miedo  
	2020-02-02 00:00:00	fansite pic twitter com xbyhmbuvjy|		todavia|transmision|	alegría
	2020-02-02 00:00:00			usa q|	ira   
	2020-02-02 00:00:00		china|		ira
