source	time	person	location	organization	miscellaneous
	2020-06-09 00:00:00	minsa peru|			alegría
	2020-06-09 00:00:00	expondra|			tristeza 
	2020-06-09 00:00:00		ecuador|		miedo
	2020-06-09 00:00:00		hospital central|		alegria 
	2020-06-09 00:00:00			frente amplio cortesia|	ira   
	2020-06-09 00:00:00	zu wenig sauerstoffflaschen gibt|		in peru sterben menschen vor den t ren der krankenh weil|	miedo 
	2020-06-09 00:00:00		venezuela|colombia|		ira
	2020-06-09 00:00:00	edda karen cespedes peru|			tristeza  
	2020-06-09 00:00:00	minsa peru gaston|sunafilperu minproduccion julianaoxenford|			ira 
	2020-06-09 00:00:00	daniel salcedo|	tumbes|		tristeza   
	2020-06-09 00:00:00	yaser burhum espinoza|			miedo  
	2020-06-09 00:00:00	wampis|			alegria  
	2020-06-09 00:00:00			movistarperu|fox|	ira  
	2020-06-09 00:00:00		peru poland|	czech republic france germany luxembourg india|	alegria   
	2020-06-09 00:00:00		chile|	aparicion de brotes de la covid 19|brasil peru|	tristeza
	2020-06-09 00:00:00		colombia|argentina|de colombia|		tristeza 
	2020-06-09 00:00:00	exitosape yomequedoencasa pic twitter com|			miedo   
	2020-06-09 00:00:00	googlemaps|noticiasonline noticiasdeldia|		google|	miedo
	2020-06-09 00:00:00			planificacion fam|	miedo 
	2020-06-09 00:00:00		chile|brasil|	oms|	miedo  
	2020-06-09 00:00:00	jaarreaza|	venezuela|colombia|		ira   
	2020-06-09 00:00:00		colombia|argentina|peru|15 colombia|		miedo   
	2020-06-09 00:00:00	martin vizcarra|			tristeza  
	2020-06-09 00:00:00			oms|oms|transmision|	miedo
	2020-06-09 00:00:00	minsa peru|mef peru|			alegría
	2020-06-09 00:00:00		situacion|		tristeza   
	2020-06-09 00:00:00		brasil|	banco mundial|	alegria 
	2020-06-09 00:00:00		covid 19 colombia|colombia|		miedo 
	2020-06-09 00:00:00		colombia|brasil|chile|ecuador|		tristeza
	2020-06-09 00:00:00		danielsalcedobonilla|ecuador|		miedo  
	2020-06-09 00:00:00		ee uu|		tristeza 
	2020-06-09 00:00:00	peru has become|			miedo   
	2020-06-09 00:00:00		italia|	eh sekarang di peru amerika latin|	miedo
	2020-06-09 00:00:00	peru tumbes daniel salcedo|			miedo 
	2020-06-09 00:00:00	col mbia equador|	grande midia|	na venezuela|	ira
	2020-06-09 00:00:00	mindray peru|			miedo  
	2020-06-09 00:00:00	elcomercio peru twitteo|	ee uu 60|		miedo   
	2020-06-09 00:00:00		lambayeque|		miedo
	2020-06-09 00:00:00		peru justiciaentiemposdecovid|		ira 
	2020-06-09 00:00:00		venezuela|		alegria  
	2020-06-09 00:00:00		chile|		tristeza  
	2020-06-09 00:00:00		contraposicion|		miedo 
	2020-06-09 00:00:00	amazonia peru|	amazonia|amazonas|		miedo  
	2020-06-09 00:00:00			brasil peru|	miedo   
	2020-06-09 00:00:00	trujillo peru|			tristeza   
	2020-06-09 00:00:00	awesome|bill they|	conf|		alegria   
	2020-06-09 00:00:00		lima|		alegría
	2020-06-09 00:00:00	george floyd|millon|			ira  
	2020-06-09 00:00:00		lima|		alegria 
	2020-06-09 00:00:00	cesc uchile cde|	prevencion del delito|chile peru|guatemala|		ira   
	2020-06-09 00:00:00	martin vizcarra|			tristeza
	2020-06-09 00:00:00	d nya coronavirus listesinde|kseli i|			miedo
	2020-06-09 00:00:00	diana salazar confirmo|		internacional peru daniel salcedo|	alegria  
	2020-06-09 00:00:00		cuba|		miedo 
	2020-06-09 00:00:00		peru|america|		ira
	2020-06-09 00:00:00			peru and covid 19 quick response hampered|	miedo  
	2020-06-09 00:00:00	ops|	panama|costa rica|chile|	ops carissa etienne|brasil peru|	miedo   
	2020-06-09 00:00:00		provincia de jauja|sanacion pic twitter com byxfpvmgzt|		miedo
	2020-06-09 00:00:00		chile|	ops|brasil peru|	tristeza 
	2020-06-09 00:00:00	andinaenglish peru president we will not let|			miedo 
	2020-06-09 00:00:00		venezuela|colombia|		miedo  
	2020-06-09 00:00:00	vengo|mayenazol zombienietzsche pic twitter com k3zdnwywsy|			tristeza  
	2020-06-09 00:00:00	jaarreaza pic twitter com k4nijkvee2|	venezuela|colombia|		miedo   
	2020-06-09 00:00:00	azangaro matuk|			miedo
	2020-06-09 00:00:00	tc peru|			tristeza   
