source	time	person	location	organization	miscellaneous
	2020-03-05 00:00:00	minsa peru pcmperu essaludperu fioremolinelli elianacarlin julianaoxenford deltamdelta elcomercio peru informacion|johns hopkins csse|			tristeza   
	2020-03-05 00:00:00		peru mtc|		miedo   
	2020-03-05 00:00:00		ecuador|		tristeza
	2020-03-05 00:00:00		ecuador|ecuador|peru pic twitter|		tristeza 
	2020-03-05 00:00:00	pais|			tristeza  
	2020-03-05 00:00:00		peru mtc|		tristeza   
	2020-03-05 00:00:00		workingadultupn|		tristeza
	2020-03-05 00:00:00	pais|			tristeza 
	2020-03-05 00:00:00	luis sepulveda|			miedo
	2020-03-05 00:00:00		there|		alegria   
	2020-03-05 00:00:00	disfrutes|visitaelperu quieroestarahi|			miedo 
	2020-03-05 00:00:00	opsoms who|			miedo  
	2020-03-05 00:00:00	disfrutes|nuestro pais|			tristeza  
	2020-03-06 00:00:00	minsa|	peru pic twitter|	instituto nacional de salud ins|	ira
	2020-03-06 00:00:00		lima|		tristeza   
	2020-03-06 00:00:00		china|		alegría
	2020-03-06 00:00:00		miami pic twitter com kzw6zxcmer|	colombia chile|	miedo   
	2020-03-06 00:00:00	mincetur peru|informan pic twitter com lg5s4i5lpf|			tristeza
	2020-03-06 00:00:00	loultimo|			tristeza 
	2020-03-06 00:00:00	martin|			tristeza  
	2020-03-06 00:00:00		peru covid|		tristeza   
	2020-03-06 00:00:00	martin vizcarra martinvizcarrac|			tristeza
	2020-03-06 00:00:00		covid|		tristeza 
	2020-03-06 00:00:00		peru lima|		tristeza  
	2020-03-06 00:00:00			republica martinvizcarrac confirmo|	tristeza   
	2020-03-06 00:00:00		observacion|		ira 
	2020-03-06 00:00:00	martin vizcarra|			tristeza
	2020-03-06 00:00:00			ultimominuto peru|	tristeza 
	2020-03-06 00:00:00	weno|			ira  
	2020-03-06 00:00:00	martin vizcarra confirmo|			tristeza  
	2020-03-06 00:00:00	peru pic twitter com|			miedo
	2020-03-06 00:00:00	martin vizcarra|	lima|		tristeza   
	2020-03-06 00:00:00	24x7|			ira   
	2020-03-06 00:00:00	eldiariodedross|martinvizcarrac|			tristeza
	2020-03-06 00:00:00	martin vizcarra|	lima|valencia|		tristeza 
	2020-03-06 00:00:00		francia|republica checa pbodigital phillipbutters|peru lima|		tristeza  
	2020-03-06 00:00:00	martin vizcarra confirmo|			tristeza   
	2020-03-06 00:00:00		peru pic twitter com|		miedo 
	2020-03-06 00:00:00	peru|			tristeza
	2020-03-06 00:00:00			yay peru|	alegria 
	2020-03-06 00:00:00	jabon|			alegria  
	2020-03-06 00:00:00		francia|republica checa|		ira
	2020-03-06 00:00:00	atencion peru|			tristeza 
	2020-03-06 00:00:00	peru|			alegria   
	2020-03-06 00:00:00	coronavirus|america latina peru|			miedo  
	2020-03-06 00:00:00	atencion peru|			tristeza  
	2020-03-06 00:00:00	martin vizcarra martinvizcarrac|			tristeza   
	2020-03-06 00:00:00	martin vizcarra|godofredo talavera presidente de la federacion medica|	leydelacalle|		miedo   
	2020-03-06 00:00:00	peru|martin vizcarra|			tristeza
	2020-03-06 00:00:00	coronavirusperu peru|			miedo
	2020-03-06 00:00:00		villa salvador sjl sedapal|		alegría
	2020-03-06 00:00:00	jabon|			tristeza 
	2020-03-06 00:00:00	jabon|			alegria 
	2020-03-06 00:00:00		chile|ecuador|peru pic twitter com|		miedo 
	2020-03-06 00:00:00	peru martin vizcarra confirmo|	francia|republica checa segun|	cnn|	tristeza  
	2020-03-06 00:00:00		covid|		tristeza   
	2020-03-06 00:00:00			radio peru|	ira 
	2020-03-06 00:00:00	justo|			miedo  
	2020-03-06 00:00:00	martin vizcarra confirmo|	francia|republica checa pic twitter com mhdmrhgofy|		tristeza
	2020-03-06 00:00:00	martin vizcarra confirmo|	francia|republica checa|		tristeza 
	2020-03-06 00:00:00	atencion peru|			tristeza  
	2020-03-06 00:00:00	peru|			tristeza   
	2020-03-06 00:00:00		venezuela|		alegria  
	2020-03-06 00:00:00	peru martin vizcarra confirmo|	francia|republica checa segun vizcarra cnn pic twitter com 8xojrardel|		tristeza
	2020-03-06 00:00:00	peru|peru|			tristeza 
	2020-03-06 00:00:00	peru|martin vizcarra confirmo|	francia|		tristeza  
	2020-03-06 00:00:00	minsa peru espero|			miedo   
	2020-03-06 00:00:00	digan|		cov|	ira  
	2020-03-06 00:00:00	republicachecapic twitter|	francia|		tristeza   
	2020-03-06 00:00:00		francia|republica checa|		tristeza
	2020-03-06 00:00:00		peru pdte|		tristeza 
	2020-03-06 00:00:00	martin vizcarra|			tristeza  
	2020-03-06 00:00:00	peru|			tristeza   
	2020-03-06 00:00:00		francia|republica checa america|		ira   
	2020-03-06 00:00:00	peru|	america del sur|brasil|chile|argentina|		alegria   
	2020-03-06 00:00:00	martin vizcarra confirmo|	francia|republica checa segun vizcarra pic twitter com|		tristeza
	2020-03-06 00:00:00			ultimominuto peru|	tristeza 
	2020-03-06 00:00:00	martinvizcarrac|ayer|			tristeza  
	2020-03-06 00:00:00	ipad v peru naka|			ira
	2020-03-06 00:00:00	peru|			tristeza   
	2020-03-06 00:00:00	peru|	francia|republica checa coronaviruspic twitter com pxpc6kmih3|		tristeza
	2020-03-06 00:00:00	panamericanatv exitosape|			alegría
	2020-03-06 00:00:00		portugal|eslovaquia|		miedo
	2020-03-06 00:00:00			excepcion|	ira 
	2020-03-06 00:00:00	pars|			ira  
	2020-03-06 00:00:00	martin vizcarra confirmo|	francia|republica checa segun vizcarra pic twitter com priec50tx2|		tristeza 
	2020-03-06 00:00:00	martin vizcarra confirmo|	francia|republica checa pic twitter com aajgjsfmtz|		tristeza  
	2020-03-06 00:00:00	peru martin|	francia|republica checa segun vizcarra pic twitter com foklsiu1ae|		tristeza   
	2020-03-06 00:00:00	peru martin vizcarra|			ira   
	2020-03-06 00:00:00		peru asi|		miedo 
	2020-03-06 00:00:00		colombia|		tristeza
	2020-03-06 00:00:00	coronavirus peru|			tristeza 
	2020-03-06 00:00:00	ayer|			alegria 
	2020-03-06 00:00:00	martin vizcarra confirmo|	peru aqui|		tristeza  
	2020-03-06 00:00:00	coronavirus peru|			tristeza   
	2020-03-06 00:00:00	coronavirus peru|			tristeza
	2020-03-06 00:00:00			breaking peru in covid 19|	miedo  
	2020-03-06 00:00:00		delifrance|	tok|aca|	tristeza 
	2020-03-06 00:00:00	coronavirus peru|			tristeza  
	2020-03-06 00:00:00	elizabeth hinostroza|			tristeza   
	2020-03-06 00:00:00	peru elizabeth hinostroza|			tristeza
	2020-03-06 00:00:00	peru segun informacion|essalud|			miedo   
	2020-03-06 00:00:00		europa|		ira
	2020-03-06 00:00:00	ruben mayorga oms|	china|america|		tristeza 
	2020-03-06 00:00:00	peru elizabeth hinostroza|			tristeza  
	2020-03-06 00:00:00	asi subio|			tristeza   
	2020-03-06 00:00:00	martin|			miedo
	2020-03-06 00:00:00	peru|			tristeza
	2020-03-06 00:00:00	coronavirus peru|			tristeza 
	2020-03-06 00:00:00		martinvizcarra|		tristeza  
	2020-03-06 00:00:00		aqui|		miedo 
	2020-03-06 00:00:00	martin vizcarra confirmo|	twitter com|		tristeza   
	2020-03-06 00:00:00	ruben mayorga|		oms|	ira 
	2020-03-06 00:00:00	martin vizcarra confirmo|			tristeza
	2020-03-06 00:00:00	coronavirus peru|			tristeza 
	2020-03-06 00:00:00	peru essalud|			tristeza  
	2020-03-06 00:00:00		vuzcarra|		tristeza   
	2020-03-06 00:00:00	peru|			tristeza
	2020-03-06 00:00:00	peru|		wu outfitoftheday|	miedo  
	2020-03-06 00:00:00		francia|republica checa pcmperu mininterperu minsa peru|		tristeza 
	2020-03-06 00:00:00	coronavirus peru|			tristeza  
	2020-03-06 00:00:00	peru essalud|			alegria  
	2020-03-06 00:00:00	peru|	estados unidos|republica dominicana|chile|ecuador|america|		tristeza   
	2020-03-06 00:00:00	repost|martin vizcarra confirmo|			tristeza
	2020-03-06 00:00:00		peru pic twitter com jtgfmas4uh|		tristeza 
	2020-03-06 00:00:00	nuestro pais|		organizacion mundial de la salud oms|	miedo   
	2020-03-06 00:00:00	peru elizabeth hinostroza|			tristeza  
	2020-03-06 00:00:00		peru|		miedo
	2020-03-06 00:00:00		america|		tristeza   
	2020-03-06 00:00:00	combutters|martin pbo butters|			miedo 
	2020-03-06 00:00:00	coronavirus peru|			tristeza
	2020-03-06 00:00:00		peru aqui|		tristeza 
	2020-03-06 00:00:00		chile|brasil|honduras|cuba|	oasis|	miedo  
	2020-03-06 00:00:00		peru linea|		alegria   
	2020-03-06 00:00:00	disculpen alguien sabe|			tristeza  
	2020-03-06 00:00:00	coronavirus peru|			tristeza   
	2020-03-06 00:00:00	peru|			tristeza
