source	time	person	location	organization	miscellaneous
	2020-05-01 00:00:00	qe paguen|jnjperu martinvizcarrac congresoperu|		qe|qe|	miedo
	2020-05-01 00:00:00	jorge falen pic twitter|			alegria   
	2020-05-01 00:00:00		valencia|		alegría
	2020-05-01 00:00:00		ncpr|		alegria 
	2020-05-01 00:00:00		brasil|	the new york times|	ira   
	2020-05-01 00:00:00	rodrigo cruz|	lambayeque|peru ojala|		ira
	2020-05-01 00:00:00	qe paguen|jnjperu keikofujimori|		qe|qe|	miedo 
	2020-05-01 00:00:00		plaza de toros de acho|lima|		miedo  
	2020-05-01 00:00:00		sudamerica|brasil|chile|colombia|bolivia|venezuela|paraguay|		alegria  
	2020-05-01 00:00:00	lejia|			miedo   
	2020-05-01 00:00:00	castro castro|	colombia|		tristeza   
	2020-05-01 00:00:00		peru asi|twitter com t8kechfag1|		miedo
	2020-05-01 00:00:00			parlamento ja ja ja dios|	miedo 
	2020-05-01 00:00:00	jnjperu keikofujimori|		qe|qe|qe|	miedo  
	2020-05-01 00:00:00	qe paguen|jnjperu martinvizcarrac congresoperu|		qe|qe|	miedo   
	2020-05-01 00:00:00	qe paguen|jnjperu martinvizcarrac congresoperu keikofujimori|		qe|qe|	miedo
	2020-05-01 00:00:00	peru|	eeuu|		miedo 
	2020-05-01 00:00:00		peru lambayeque|		alegria   
	2020-05-01 00:00:00	qe paguen|jnjperu martinvizcarrac congresoperu|		qe|qe|	miedo  
	2020-05-01 00:00:00	minsa peru entiendan|	aqui|		tristeza
	2020-05-01 00:00:00			albania belarus peru united states and the oecd for access to all the daily covid 19 related tns reports|	ira 
	2020-05-01 00:00:00		ningun hospital|		tristeza 
	2020-05-01 00:00:00	minjusdh peru|san jorge|	inpegob|		tristeza  
	2020-05-01 00:00:00	peru|pedro trigozo|	atalaya|		tristeza   
	2020-05-01 00:00:00		colombia|ecuador|peru pic twitter com juukipef4z|		miedo   
	2020-05-01 00:00:00	traigo|duque moreno|fujimori|	colombia|ecuador|argentina|	fake news|	alegría
	2020-05-01 00:00:00		peru lambayeque|		alegria 
	2020-05-01 00:00:00			oms|oms|	ira  
	2020-05-01 00:00:00		lima|		miedo
	2020-05-01 00:00:00		norte del pais|singapur|		miedo 
	2020-05-01 00:00:00	ayer|vanessa pilar tomaylla flores|hospitalloayza|susaludperu minsa peru digerd minsa|			ira   
	2020-05-01 00:00:00	feli dia|covi|	venezuela|		tristeza
	2020-05-01 00:00:00	elcomercio peru|			alegria  
	2020-05-01 00:00:00	peru|			alegria   
	2020-05-01 00:00:00	coronavirus|argentina peru podcast|	mexico colombia|		miedo  
	2020-05-01 00:00:00	hector chumpitaz|			ira
	2020-05-01 00:00:00		cnpc|		alegría
	2020-05-01 00:00:00			kf|	tristeza 
	2020-05-01 00:00:00		venezuela|		ira 
	2020-05-01 00:00:00			india peru switzerland saudi arabia traces line of turkey russia|	tristeza  
	2020-05-01 00:00:00	peru saudi arabia pic twitter com|	israel|india|		alegria 
	2020-05-01 00:00:00		peru pic|		alegria  
	2020-05-01 00:00:00			in peru food markets have become the epicentre of covid 19 contagion|	alegria   
	2020-05-01 00:00:00		estados unidos|brasil|chile|ecuador|		alegría
	2020-05-01 00:00:00	enfermeriatecuida yotambientecuidoenfermera|			alegria 
	2020-05-01 00:00:00	qe paguen|jnjperu martinvizcarrac congresoperu|		qe|qe|	miedo   
	2020-05-01 00:00:00	kpmg|			tristeza   
	2020-05-01 00:00:00		lima|		tristeza
	2020-05-01 00:00:00	midisperu|mef peru martinvizcarrac mimpperu|primerodemayo keikolibre|			alegria  
	2020-05-01 00:00:00			fundacion|	ira  
	2020-05-01 00:00:00		ee uu|china|		miedo
	2020-05-01 00:00:00	ciro maguina infectologo|		universidad cayetano heredia|	miedo 
	2020-05-01 00:00:00	bono|bono peru|			miedo  
	2020-05-01 00:00:00		brasil|mexico|		ira   
	2020-05-01 00:00:00	trascienden|			miedo   
	2020-05-01 00:00:00	bono|bono peru|			miedo
	2020-05-01 00:00:00	qe paguen|jnjperu martinvizcarrac congresoperu|		qe|qe|	miedo 
	2020-05-01 00:00:00		venezuela|		ira
	2020-05-01 00:00:00	luchan contraelel|			miedo  
	2020-05-01 00:00:00			chamba ardua|dia cinthia|	alegria   
	2020-05-01 00:00:00	adelio n|comera panetone|peru|ano pois|com caix|			miedo   
	2020-05-01 00:00:00	peru|			alegría
	2020-05-01 00:00:00	guia peru|		investigacion|	miedo
	2020-05-01 00:00:00	bono|			tristeza 
	2020-05-01 00:00:00			republica revelo|instituto nacional penitenciario del peru|	ira 
	2020-05-01 00:00:00	qe paguen|		qe|qe|	miedo 
	2020-05-01 00:00:00		plaza vea tacna|		alegria 
	2020-05-01 00:00:00	peru|			miedo  
	2020-05-01 00:00:00	peru|			alegria  
